Reason,Category,Tight Cat
Adulterated and Misbranded: Pesticide Category I Contamination (Chlorfenapyr); Inaccurate Labeling (Cannabinoid inflation),Pesticides,Attractive Label
Adulterated and Misbranded: Pesticide Category I Contamination (Chlorfenapyr); Inaccurate Labeling (Cannabinoid inflation),"Multiple (Pesticides, THC Inflation)",Pesticides
Adulterated: Microbial Contamination (Aspergillus niger); Microbial Contamination (Aspergillus terreus),Aspergillus,Pesticides
Adulterated and Misbranded: Microbial Contamination (Aspergillus niger); Inaccurate Labeling (Cannabinoid inflation),"Multiple (Aspergillus, THC Inflation)",Multiple
Potentially Adulterated: Pesticide Category I Contamination and/or Pesticide Category II Contamination,Pesticides,Aspergillus
Potentially Adulterated and Misbranded: Prohibited Product,Prohibited Additives / Product,Multiple
Potentially Adulterated and Misbranded: Other,Adulterated / Misbranded,Pesticides
Adulterated: Heavy Metal Contamination (Arsenic),Heavy Metal,Prohibited Additives / Product
Potentially Adulterated: Pesticide Category I Contamination,Pesticides,Adulterated / Misbranded
Adulterated: Prohibited Product,Prohibited Additives / Product,Heavy Metal
Potentially Adulterated: Pesticide Category II Contamination,Pesticides,Pesticides
Adulterated and Misbranded: Microbial Contamination (Aspergillus spp.); Inaccurate Labeling (Cannabinoid inflation),"Multiple (Aspergillus, THC Inflation)",Prohibited Additives / Product
Potentially Adulterated: Solvent Category I Contamination (Methylene chloride),Solvent,Pesticides
Adulterated and Misbranded: Inaccurate Labeling (Cannabinoid inflation); Microbial Contamination (Aspergillus spp.),"Multiple (Aspergillus, THC inflation)",Multiple
Invalid Batch Testing; Exceeds Concentration limit,"Multiple (Invalid Testing, Prohibited Product)",Solvent
Adulterated: Microbial Contamination (Aspergillus spp.),Aspergillus,Multiple
Potentially Misbranded: Other (Invalid Batch Testing),Invalid Testing,Multiple
Potentially Adulterated and Misbranded: Other (label / gmp),"Multiple: Inaccurate Ingredient Label, Lacking GMP",Aspergillus
Adulterated: Other (Incomplete Testing),Invalid Testing,Invalid Testing
Adulterated: Microbial Contamination (Aspergillus spp.); Inaccurate Labeling (Cannabinoid inflation),"Multiple (Aspergillus, THC Inflation)",Multiple
Adulterated: Microbial Contamination (Aspergillus fumigatus); Microbial Contamination (Aspergillus terreus),Aspergillus,Invalid Testing
