Date,State,Doc Link,Type,ID,Company / Producer,Cultivator,,Product,Notes
10/19/2018,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43392WashingtonClandestine Consulting,Clandestine Consulting,,,,
11/21/2018,Colorado,https://sbg.colorado.gov/sites/sbg/files/181121%20HSA%20CWC.pdf,Mandatory,43425ColoradoColorado Wellness Centers LLC,Colorado Wellness Centers LLC,,,,
11/28/2018,Colorado,https://sbg.colorado.gov/sites/sbg/files/Crossroads%20Wellness%20HSA%20Final.pdf,Mandatory,43432ColoradoCrossroads Wellness LLC,Crossroads Wellness LLC,,,,
1/4/2019,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Public_Health_and_Safety_Advisory_1-4-2019_Final_642608_7.pdf?rev=1d41645ec2ee4765a1fc1530279d1bad&hash=30327154BC6A3EF673FE772154B88856,Mandatory,"43469MichiganChoice Labs, LLC.","Choice Labs, LLC.",,,,
2/11/2019,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Public_Health_and_Safety_Advisory_CCBD_1-10-19_643369_7.pdf?rev=c778c23b3db649e5ba57b6802a7caddb&hash=539ED0B6BFE0DA9ABA691327FBB334C6,Mandatory,43507MichiganCompassionate Care By Design,Compassionate Care By Design,,,,
2/15/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43511WashingtonEmerald Peaks,Emerald Peaks,,,,
2/26/2019,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Public_Health_and_Safety_Advisory_664_Vassar_LLC_Elite_Wellness_Vassar_2-6-2019_003_645544_7.pdf?rev=a0fd4848db594909a577f76615c3b601&hash=1DD185D2E6BF9AC2DF886691FF0958A3,Mandatory,43522MichiganElite Wellness Vassar,Elite Wellness Vassar,,,,
4/11/2019,Colorado,https://sbg.colorado.gov/sites/sbg/files/HSA%20Mile%20High%20Medical%2004112019.pdf,Mandatory,43566ColoradoMile High Medical LLC,Mile High Medical LLC,,,,
4/12/2019,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Public_Health_and_Safety_Advisory_Lead_Contamination_in_Vape_Cartridges_4-12-2019_652464_7.pdf?rev=6549195f142f469c8c8f72186bec538c&hash=470D11A50F6DB94EF6911B083354576F,Mandatory,43567MichiganNot Disclosed,Not Disclosed,,,,
4/15/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43570WashingtonAuricag,Auricag,,,,
4/18/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43573WashingtonBotanical Arts,Botanical Arts,,,,
05/06/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43591WashingtonSkagit Organics,Skagit Organics,,,,
5/6/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43591WashingtonMountain HI,Mountain HI,,,,
5/9/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43594WashingtonPacific Glo,Pacific Glo,,,,
05/10/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43595WashingtonWashington Grow Solutions,Washington Grow Solutions,,,,
07/03/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43649WashingtonAurum Farms,Aurum Farms,,,,
07/16/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43662WashingtonDB3,DB3,,,,
07/23/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43669WashingtonFirebros,Firebros,,,,
07/23/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43669WashingtonMink Farm Organics,Mink Farm Organics,,,,
07/25/2019,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,43671WashingtonFreya Farms,Freya Farms,,,,
8/7/2019,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/The_Spott_Public_Health_and_Safety_Advisory_Bulletin_080719_662637_7.pdf?rev=65b3c1e4670543d09a14c40cf50fce43&hash=C8EF735869E39C58ECD0886845E2523A,Mandatory,43684MichiganFreya Farms,Freya Farms,,,,
8/16/2019,Colorado,https://sbg.colorado.gov/sites/sbg/files/documents/190816%20Public%20Health%20and%20Safety%20Advisory-%20Herbal%20Wellness%2C%20LLC.pdf,Mandatory,43693ColoradoHerbal Wellness LLC.,Herbal Wellness LLC.,,,,
8/16/2019,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Iron_Labs_Public_Health_and_Safety_Advisory_Bulletin_081619_663601_7.pdf?rev=48fd02603c0a44419c83059c4d56292c&hash=7E474D9480AECA4AC720B2060B9A0DBD,Mandatory,43693MichiganIron Laboratories,Iron Laboratories,,,,
8/30/2019,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/public-health-safety-advisory-iron-lab-recall-08302019_664856_7.pdf?rev=b638ef9b02dc46729e3f0575c3c13329&hash=DB534585A391AA9D1BBC7B779E9B8E73,Mandatory,43707MichiganIron Laboratories,Iron Laboratories,,,,
11/12/2019,Alaska,https://www.commerce.alaska.gov/web/Portals/9/pub/MCB/Minutes/2020/01.23/Tab6.pdf#page=7,Mandatory,"43781AlaskaCalm N Collective, LLC","Calm N Collective, LLC",,,,
11/22/2019,Colorado,https://drive.google.com/open?id=1RJSbwmD5DzoI-E09vDshbUATjN9wvx6h,Mandatory,43791ColoradoSeveral,Several,,,,
12/17/2019,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/VitaminEPublic_Health_and_Safety_Advisory_674168_7.pdf?rev=2a3fc07778df4bb4aebaa5a7e66a950d&hash=1D050C55F7F71A488714315AEB6256D4,Mandatory,43816MichiganSeveral,Several,,,,
01/10/2020,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/lara/about/Folder5/Public_Health_and_Safety_Advisory_Bulletin.pdf?rev=dc510ae2fa264bcc8c06aa1a2b4b8668&hash=623D5BADE4C99D847963CA865199F600,Mandatory,43840MichiganUndisclosed,Undisclosed,,,,
1/17/2020,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Public_Health_and_Safety_Advisory_Bulletin_678819_7.pdf?rev=e73ec2ae43d9413681e6c790fbd8d1ea&hash=5AAF2D6FCA6AED9084F211CF38DB62D0,Mandatory,43847MichiganUndisclosed,Undisclosed,,,,
1/20/2020,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Public_Health_and_Safety_Advisory_676863_7.pdf?rev=ffaad15d875041a481593909d2c39c71&hash=054A2DEE39F652D7EA52146968EBC83F,Mandatory,43850MichiganUndisclosed,Undisclosed,,,,
